INFO 2025-03-13 12:02:03,537 autoreload 20100 2684 Watching for file changes with StatReloader
DEBUG 2025-03-13 12:02:03,538 autoreload 20100 2684 Waiting for apps ready_event.
DEBUG 2025-03-13 12:02:03,977 autoreload 20100 2684 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-13 12:02:04,018 autoreload 20100 2684 Watching dir C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\templates with glob **/*.
DEBUG 2025-03-13 12:02:04,018 autoreload 20100 2684 Watching dir C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\locale with glob **/*.mo.
DEBUG 2025-03-13 12:02:04,019 autoreload 20100 2684 Watching dir C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\helmet\locale with glob **/*.mo.
DEBUG 2025-03-13 12:02:04,049 utils 20100 11968 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\asyncio\subprocess.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\gettext.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\helmet\urls.py first seen with mtime 1741844630.8776267
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1741769840.2329817
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\statistics.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1741769837.5337973
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\DLLs\_lzma.pyd first seen with mtime 1712654462.0
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1741769840.5290754
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\requests\hooks.py first seen with mtime 1741770258.1765134
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\ctypes\_endian.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\email\_policybase.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,158 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\forms\models.py first seen with mtime 1741769840.34912
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\weakref.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1741769840.5526114
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\asyncio\events.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1741769840.3359804
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\__init__.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\template\context.py first seen with mtime 1741769840.4816093
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1741769840.5225482
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\idna\package_data.py first seen with mtime 1741770257.9456966
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\DLLs\select.pyd first seen with mtime 1712654462.0
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1741769840.2124505
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\DLLs\_ssl.pyd first seen with mtime 1712654462.0
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1741769840.063421
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1741769840.3157363
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\random.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1741769840.491715
DEBUG 2025-03-13 12:02:04,159 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,160 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\.venv\Lib\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1741769840.302193
DEBUG 2025-03-13 12:02:04,160 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\LoRa2Server\urls.py first seen with mtime 1741847236.0830288
DEBUG 2025-03-13 12:02:04,160 autoreload 20100 2684 File C:\Users\MagnumOpus\AppData\Local\Programs\Python\Python312\Lib\http\server.py first seen with mtime 1712654418.0
DEBUG 2025-03-13 12:02:04,160 autoreload 20100 2684 File C:\Users\MagnumOpus\PycharmProjects\LoRa2Server\LoRa2Server\views.py first seen with mtime 1741847240.0858228
